id,y
1,6
2,4
3,3
4,7
5,8
6,7
7,2
8,8
9,1
10,3
11,1
12,8
13,1
14,1
15,1
16,1
17,2
18,8
19,4
20,4
21,1
22,2
23,5
24,8
25,9
26,6
27,7
28,1
29,1
30,8
31,5
32,1
33,8
34,6
35,2
36,4
37,2
38,6
39,3
40,1
41,1
42,2
43,7
44,5
45,8
46,1
47,4
48,7
49,4
50,1
51,1
52,1
53,1
54,8
55,9
56,1
57,6
58,6
59,1
60,6
61,6
62,3
63,8
64,5
65,1
66,8
67,1
68,7
69,4
70,1
71,7
72,1
73,1
74,6
75,7
76,7
77,8
78,8
79,7
80,8
81,8
82,1
83,8
84,4
85,9
86,1
87,4
88,8
89,2
90,5
91,6
92,1
93,1
94,8
95,8
96,6
97,4
98,8
99,9
100,8
101,6
102,8
103,7
104,8
105,2
106,1
107,8
108,1
109,1
110,8
111,8
112,1
113,5
114,5
115,8
116,5
117,3
118,8
119,4
120,1
121,5
122,6
123,5
124,2
125,8
126,8
127,9
128,7
129,1
130,1
131,1
132,3
133,9
134,2
135,2
136,7
137,8
138,6
139,1
140,6
141,1
142,4
143,7
144,3
145,8
146,1
147,6
148,8
149,9
150,2
151,8
152,1
153,1
154,2
155,8
156,4
157,3
158,1
159,1
160,8
161,2
162,8
163,8
164,9
165,6
166,1
167,2
168,5
169,8
170,9
171,1
172,6
173,7
174,1
175,8
176,7
177,7
178,7
179,1
180,1
181,8
182,9
183,8
184,2
185,1
186,8
187,1
188,8
189,9
190,3
191,8
192,8
193,6
194,1
195,8
196,1
197,1
198,7
199,8
200,9
201,8
202,4
203,1
204,7
205,7
206,8
207,4
208,1
209,8
210,8
211,1
212,6
213,8
214,7
215,8
216,4
217,3
218,1
219,8
220,6
221,4
222,8
223,3
224,1
225,8
226,1
227,8
228,1
229,6
230,3
231,1
232,1
233,6
234,5
235,9
236,8
237,7
238,1
239,1
240,8
241,8
242,6
243,7
244,8
245,5
246,4
247,8
248,1
249,4
250,1
251,6
252,8
253,1
254,6
255,6
256,1
257,6
258,1
259,4
260,2
261,2
262,6
263,1
264,6
265,6
266,9
267,7
268,8
269,8
270,2
271,6
272,8
273,9
274,6
275,9
276,7
277,8
278,1
279,6
280,6
281,1
282,1
283,6
284,8
285,8
286,8
287,8
288,1
289,9
290,6
291,7
292,2
293,4
294,1
295,1
296,6
297,6
298,4
299,1
300,1
301,8
302,8
303,1
304,8
305,9
306,6
307,1
308,1
309,8
310,8
311,1
312,8
313,1
314,6
315,8
316,8
317,1
318,8
319,8
320,9
321,1
322,8
323,2
324,7
325,8
326,4
327,1
328,4
329,1
330,8
331,1
332,1
333,8
334,8
335,6
336,1
337,8
338,8
339,1
340,2
341,3
342,2
343,1
344,8
345,8
346,8
347,8
348,6
349,4
350,4
351,1
352,7
353,1
354,1
355,8
356,4
357,3
358,4
359,7
360,1
361,9
362,3
363,1
364,1
365,6
366,1
367,1
368,2
369,8
370,8
371,1
372,5
373,2
374,2
375,6
376,9
377,1
378,8
379,1
380,4
381,2
382,5
383,7
384,1
385,6
386,7
387,8
388,1
389,1
390,1
391,6
392,3
393,6
394,8
395,2
396,1
397,8
398,6
399,2
400,8
401,8
402,7
403,6
404,4
405,1
406,6
407,5
408,2
409,8
410,8
411,9
412,4
413,4
414,8
415,5
416,5
417,7
418,1
419,1
420,8
421,5
422,6
423,1
424,7
425,6
426,1
427,1
428,9
429,1
430,4
431,8
432,1
433,2
434,8
435,3
436,1
437,8
438,4
439,9
440,8
441,8
442,8
443,8
444,6
445,6
446,4
447,8
448,8
449,8
450,6
451,6
452,8
453,8
454,5
455,7
456,6
457,8
458,1
459,1
460,7
461,1
462,9
463,1
464,8
465,8
466,1
467,1
468,1
469,3
470,9
471,9
472,1
473,4
474,8
475,1
476,7
477,1
478,1
479,6
480,8
481,9
482,1
483,2
484,2
485,8
486,6
487,4
488,9
489,6
490,1
491,2
492,8
493,2
494,1
495,7
496,8
497,8
498,1
499,2
500,1
501,1
502,8
503,2
504,9
505,1
506,2
507,9
508,2
509,5
510,4
511,2
512,4
513,8
514,1
515,6
516,8
517,1
518,1
519,9
520,4
521,7
522,8
523,3
524,1
525,9
526,4
527,1
528,8
529,2
530,6
531,9
532,8
533,3
534,6
535,4
536,4
537,8
538,1
539,8
540,8
541,1
542,1
543,7
544,6
545,8
546,8
547,1
548,4
549,8
550,9
551,8
552,8
553,7
554,1
555,8
556,1
557,8
558,1
559,8
560,8
561,1
562,9
563,8
564,3
565,7
566,1
567,1
568,1
569,1
570,4
571,8
572,9
573,1
574,6
575,9
576,8
577,7
578,4
579,1
580,2
581,1
582,8
583,8
584,1
585,2
586,1
587,1
588,1
589,5
590,8
591,1
592,4
593,4
594,1
595,5
596,8
597,9
598,9
599,9
600,8
601,5
602,9
603,5
604,8
605,1
606,7
607,1
608,8
609,6
610,1
611,8
612,6
613,5
614,2
615,1
616,1
617,8
618,6
619,1
620,8
621,9
622,5
623,8
624,6
625,9
626,2
627,8
628,9
629,8
630,1
631,2
632,7
633,8
634,6
635,6
636,5
637,3
638,8
639,1
640,4
641,8
642,8
643,6
644,8
645,8
646,2
647,3
648,8
649,4
650,1
651,6
652,9
653,9
654,1
655,1
656,4
657,7
658,7
659,1
660,8
661,8
662,8
663,1
664,8
665,1
666,7
667,8
668,9
669,8
670,6
671,6
672,2
673,1
674,2
675,1
676,8
677,5
678,1
679,7
680,8
681,6
682,6
683,8
684,1
685,8
686,8
687,4
688,7
689,1
690,1
691,2
692,1
693,6
694,6
695,1
696,6
697,8
698,3
699,8
700,1
701,7
702,1
703,4
704,8
705,1
706,2
707,1
708,6
709,4
710,1
711,9
712,7
713,6
714,1
715,1
716,8
717,1
718,6
719,1
720,6
721,2
722,7
723,8
724,9
725,6
726,9
727,1
728,1
729,8
730,6
731,1
732,5
733,3
734,1
735,9
736,1
737,9
738,8
739,7
740,8
741,1
742,6
743,6
744,3
745,1
746,6
747,3
748,6
749,1
750,6
751,7
752,8
753,2
754,6
755,4
756,1
757,7
758,9
759,4
760,4
761,1
762,1
763,7
764,6
765,8
766,1
767,8
768,1
769,4
770,8
771,8
772,1
773,4
774,6
775,7
776,1
777,1
778,8
779,4
780,3
781,5
782,6
783,2
784,8
785,8
786,2
787,3
788,9
789,9
790,1
791,1
792,8
793,8
794,1
795,2
796,1
797,2
798,8
799,8
800,8
801,1
802,8
803,2
804,9
805,6
806,1
807,7
808,1
809,9
810,8
811,6
812,1
813,6
814,3
815,1
816,6
817,6
818,4
819,6
820,1
821,4
822,1
823,6
824,9
825,8
826,1
827,4
828,2
829,6
830,1
831,3
832,1
833,1
834,7
835,5
836,6
837,1
838,9
839,1
840,6
841,6
842,1
843,5
844,1
845,5
846,6
847,9
848,8
849,8
850,6
851,9
852,6
853,1
854,9
855,1
856,6
857,4
858,6
859,8
860,4
861,1
862,7
863,6
864,5
865,3
866,5
867,1
868,1
869,8
870,1
871,8
872,6
873,8
874,6
875,6
876,7
877,6
878,1
879,1
880,2
881,6
882,1
883,7
884,1
885,1
886,7
887,6
888,8
889,1
890,9
891,6
892,1
893,1
894,1
895,6
896,1
897,1
898,4
899,1
900,4
901,6
902,1
903,9
904,8
905,8
906,4
907,6
908,1
909,7
910,8
911,9
912,1
913,1
914,8
915,1
916,1
917,8
918,9
919,1
920,7
921,2
922,8
923,4
924,1
925,6
926,6
927,7
928,6
929,3
930,7
931,5
932,1
933,8
934,1
935,9
936,3
937,1
938,8
939,6
940,8
941,2
942,8
943,6
944,8
945,1
946,1
947,9
948,1
949,6
950,8
951,1
952,1
953,5
954,6
955,8
956,6
957,8
958,8
959,6
960,1
961,8
962,6
963,9
964,4
965,1
966,9
967,1
968,1
969,1
970,8
971,2
972,9
973,6
974,9
975,9
976,1
977,3
978,6
979,2
980,8
981,9
982,1
983,1
984,8
985,1
986,8
987,9
988,1
989,9
990,4
991,6
992,1
993,8
994,8
995,1
996,7
997,6
998,6
999,9
1000,2
1001,1
1002,6
1003,6
1004,8
1005,6
1006,1
1007,6
1008,6
1009,8
1010,7
1011,8
1012,4
1013,4
1014,9
1015,6
1016,7
1017,3
1018,1
1019,8
1020,6
1021,8
1022,8
1023,3
1024,9
1025,4
1026,1
1027,4
1028,6
1029,1
1030,4
1031,6
1032,6
1033,1
1034,8
1035,8
1036,2
1037,1
1038,1
1039,1
1040,5
1041,1
1042,1
1043,8
1044,6
1045,1
1046,8
1047,6
1048,1
1049,1
1050,8
1051,7
1052,6
1053,6
1054,5
1055,8
1056,4
1057,8
1058,8
1059,8
1060,8
1061,8
1062,1
1063,1
1064,1
1065,7
1066,1
1067,6
1068,1
1069,9
1070,3
1071,6
1072,8
1073,4
1074,3
1075,9
1076,7
1077,8
1078,8
1079,2
1080,6
1081,6
1082,3
1083,8
1084,9
1085,6
1086,8
1087,8
1088,7
1089,1
1090,9
1091,1
1092,1
1093,1
1094,8
1095,8
1096,6
1097,6
1098,7
1099,7
1100,6
1101,1
1102,4
1103,7
1104,7
1105,9
1106,8
1107,4
1108,8
1109,7
1110,1
1111,8
1112,7
1113,8
1114,6
1115,6
1116,8
1117,8
1118,3
1119,1
1120,8
1121,2
1122,1
1123,8
1124,1
1125,1
1126,8
1127,9
1128,3
1129,6
1130,8
1131,2
1132,5
1133,6
1134,1
1135,2
1136,1
1137,8
1138,4
1139,8
1140,1
1141,1
1142,1
1143,6
1144,8
1145,5
1146,4
1147,8
1148,2
1149,8
1150,1
1151,6
1152,6
1153,8
1154,7
1155,2
1156,9
1157,4
1158,5
1159,8
1160,2
1161,4
1162,8
1163,6
1164,1
1165,6
1166,6
1167,8
1168,1
1169,1
1170,1
1171,8
1172,5
1173,9
1174,6
1175,4
1176,1
1177,9
1178,1
1179,6
1180,8
1181,9
1182,8
1183,2
1184,6
1185,4
1186,8
1187,9
1188,8
1189,6
1190,6
1191,3
1192,6
1193,2
1194,7
1195,1
1196,8
1197,1
1198,6
1199,1
1200,1
1201,7
1202,1
1203,1
1204,7
1205,8
1206,8
1207,1
1208,8
1209,7
1210,6
1211,8
1212,8
1213,8
1214,3
1215,3
1216,1
1217,1
1218,9
1219,8
1220,4
1221,8
1222,5
1223,3
1224,1
1225,2
1226,4
1227,1
1228,8
1229,2
1230,1
1231,4
1232,7
1233,8
1234,6
1235,8
1236,2
1237,8
1238,1
1239,9
1240,8
1241,8
1242,1
1243,1
1244,1
1245,5
1246,8
1247,6
1248,1
1249,8
1250,8
1251,1
1252,8
1253,8
1254,9
1255,1
1256,7
1257,4
1258,8
1259,7
1260,8
1261,8
1262,6
1263,1
1264,6
1265,8
1266,7
1267,1
1268,8
1269,5
1270,8
1271,9
1272,4
1273,1
1274,1
1275,4
1276,1
1277,6
1278,7
1279,4
1280,8
1281,3
1282,1
1283,2
1284,4
1285,1
1286,7
1287,8
1288,8
1289,1
1290,1
1291,8
1292,1
1293,1
1294,8
1295,8
1296,1
1297,1
1298,1
1299,9
1300,1
1301,1
1302,6
1303,6
1304,8
1305,1
1306,1
1307,9
1308,2
1309,4
1310,1
1311,1
1312,4
1313,8
1314,8
1315,1
1316,5
1317,7
1318,7
1319,6
1320,7
1321,2
1322,9
1323,4
1324,4
1325,1
1326,5
1327,1
1328,6
1329,6
1330,8
1331,1
1332,1
1333,8
1334,8
1335,8
1336,1
1337,9
1338,9
1339,1
1340,1
1341,6
1342,9
1343,4
1344,2
1345,9
1346,8
1347,8
1348,8
1349,1
1350,8
1351,5
1352,6
1353,6
1354,9
1355,1
1356,6
1357,1
1358,1
1359,6
1360,1
1361,5
1362,6
1363,1
1364,1
1365,4
1366,1
1367,7
1368,5
1369,1
1370,2
1371,1
1372,1
1373,2
1374,5
1375,4
1376,2
1377,1
1378,8
1379,6
1380,6
1381,7
1382,9
1383,6
1384,6
1385,9
1386,1
1387,1
1388,9
1389,4
1390,1
1391,8
1392,8
1393,1
1394,9
1395,1
1396,8
1397,6
1398,6
1399,1
1400,9
1401,8
1402,5
1403,3
1404,6
1405,1
1406,6
1407,8
1408,1
1409,3
1410,6
1411,7
1412,7
1413,4
1414,2
1415,5
1416,9
1417,3
1418,4
1419,8
1420,1
1421,6
1422,7
1423,8
1424,8
1425,8
1426,1
1427,1
1428,8
1429,8
1430,6
1431,6
1432,1
1433,9
1434,7
1435,1
1436,7
1437,4
1438,8
1439,2
1440,8
1441,1
1442,6
1443,1
1444,6
1445,9
1446,2
1447,6
1448,7
1449,9
1450,8
1451,6
1452,8
1453,8
1454,7
1455,8
1456,9
1457,8
1458,7
1459,2
1460,8
1461,5
1462,8
1463,1
1464,8
1465,9
1466,8
1467,2
1468,8
1469,1
1470,1
1471,1
1472,1
1473,1
1474,6
1475,2
1476,2
1477,2
1478,2
1479,8
1480,2
1481,1
1482,9
1483,1
1484,3
1485,1
1486,3
1487,4
1488,4
1489,6
1490,8
1491,4
1492,9
1493,3
1494,8
1495,9
1496,1
1497,1
1498,7
1499,6
1500,2
1501,7
1502,5
1503,6
1504,6
1505,6
1506,6
1507,2
1508,8
1509,2
1510,1
1511,4
1512,3
1513,8
1514,8
1515,1
1516,1
1517,5
1518,1
1519,6
